name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	total_assigned_reads
Neotabrizicola	2946607	G	125	0	125
Pontivivens	1844015	G	88	0	88
Pseudopuniceibacterium	2613960	G	51	0	51
Thioclava	285107	G	44	0	44
Frigidibacter	1775705	G	35	1	36
Falsirhodobacter	1434002	G	25	0	25
Paroceanicella	2683599	G	21	0	21
Aliiroseovarius	1658781	G	19	0	19
Tritonibacter	2083206	G	18	1	19
Gymnodinialimonas	2937410	G	15	0	15
Pseudorhodobacter	238783	G	15	0	15
Pseudooceanicola	1679449	G	14	0	14
Pacificitalea	2846749	G	11	0	11
Silicimonas	1955420	G	10	0	10
Phaeobacter	302485	G	602	82	684
Sulfitobacter	60136	G	137	19	156
Roseovarius	74030	G	129	2	131
Leisingera	191028	G	122	22	144
Ponticoccus	983507	G	91	4	95
Mameliella	1434019	G	87	9	96
Salipiger	263377	G	73	14	87
Ketogulonicigenium	92944	G	61	1	62
Dinoroseobacter	309512	G	51	15	66
Pseudosulfitobacter	2854186	G	39	7	46
Ruegeria	97050	G	38	0	38
Tateyamaria	299261	G	38	0	38
Celeribacter	875170	G	33	4	37
Roseivivax	93682	G	32	1	33
Actibacterium	1433986	G	26	7	33
Jannaschia	188905	G	15	0	15
Sagittula	58842	G	13	4	17
Maribius	387095	G	11	0	11
Yangia	2919626	G	11	0	11
Pseudorhizobium	1903858	G	1168	40	1208
Agrobacterium	357	G	602	63	665
Rhizobium	379	G	198	4	202
Shinella	323620	G	103	8	111
Sinorhizobium	28105	G	25	2	27
Bradyrhizobium	374	G	348	10	358
Rhodopseudomonas	1073	G	115	9	124
Pannonibacter	227873	G	411	126	537
Roseibium	150830	G	26	1	27
Methylobacterium	407	G	253	2	255
Methylorubrum	2282523	G	45	0	45
Microvirga	186650	G	13	0	13
Mesorhizobium	68287	G	182	12	194
Phyllobacterium	28100	G	22	0	22
Aminobacter	31988	G	12	4	16
Brucella	234	G	124	35	159
Aquabacter	45402	G	63	0	63
Labrys	204476	G	21	0	21
Ancylobacter	99	G	14	0	14
Aureimonas	414371	G	81	1	82
Blastochloris	59282	G	84	2	86
Pelagibacterium	1082930	G	61	3	64
Chelatococcus	28209	G	60	1	61
Bosea	85413	G	44	0	44
Pseudorhodoplanes	1734920	G	12	0	12
Acetobacter	434	G	643	36	679
Roseomonas	125216	G	133	16	149
Lichenicola	2804525	G	77	0	77
Acidiphilium	522	G	51	4	55
Gluconacetobacter	89583	G	11	0	11
Niveispirillum	1543704	G	109	19	128
Skermanella	204447	G	16	1	17
Azospirillum	191	G	10	1	11
Tistrella	171436	G	83	5	88
Defluviicoccus	111830	G	64	5	69
Elioraea	457933	G	28	0	28
Sphingopyxis	165697	G	159	14	173
Sphingomonas	13687	G	135	1	136
Rhizorhabdus	1649486	G	61	20	81
Novosphingobium	165696	G	40	1	41
Sphingobium	165695	G	14	0	14
Qipengyuania	1855416	G	72	1	73
