name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus cohnii	29382	S	300	239	539	0.00001
Staphylococcus condimenti	70255	S	294	17	311	0.00000
Staphylococcus nepalensis	214473	S	265	10	275	0.00000
Staphylococcus carnosus	1281	S	247	16	263	0.00000
Staphylococcus xylosus	1288	S	241	21	262	0.00000
Staphylococcus piscifermentans	70258	S	237	19	256	0.00000
Staphylococcus edaphicus	1955013	S	220	5	225	0.00000
Staphylococcus debuckii	2044912	S	195	19	214	0.00000
Staphylococcus succinus	61015	S	186	2	188	0.00000
Staphylococcus lutrae	155085	S	120	3	123	0.00000
Staphylococcus auricularis	29379	S	76	1	77	0.00000
Staphylococcus gallinarum	1293	S	49	0	49	0.00000
Staphylococcus lloydii	2781774	S	48	2	50	0.00000
Staphylococcus hyicus	1284	S	44	4	48	0.00000
Staphylococcus ratti	2892440	S	41	0	41	0.00000
Staphylococcus muscae	1294	S	18	0	18	0.00000
Mammaliicoccus sciuri	1296	S	84	3	87	0.00000
Mammaliicoccus vitulinus	71237	S	17	0	17	0.00000
Mammaliicoccus lentus	42858	S	16	0	16	0.00000
Macrococcus armenti	2875764	S	23	14	37	0.00000
Abyssicoccus albus	1817405	S	20	0	20	0.00000
Paenibacillus glucanolyticus	59843	S	380	54	434	0.00000
Paenibacillus urinalis	521520	S	277	4	281	0.00000
Paenibacillus sp. JNUCC-32	2777984	S	14	1	15	0.00000
Paenibacillus graminis	189425	S	19	0	19	0.00000
Paenibacillus thiaminolyticus	49283	S	14	0	14	0.00000
Paenibacillus polymyxa	1406	S	13	2	15	0.00000
Paenibacillus physcomitrellae	1619311	S	12	0	12	0.00000
Paenibacillus guangzhouensis	1473112	S	11	0	11	0.00000
Planococcus sp. MB-3u-03	2058136	S	30	1	31	0.00000
Planococcus rifietoensis	200991	S	14	1	15	0.00000
Solibacillus silvestris	76853	S	11	2	13	0.00000
Listeria monocytogenes	1639	S	48	25	73	0.00000
Brochothrix thermosphacta	2756	S	17	1	18	0.00000
Thermoactinomyces vulgaris	2026	S	10	0	10	0.00000
Streptococcus mutans	1309	S	2897477	133716	3031193	0.02860
Streptococcus agalactiae	1311	S	68259	2612233	2680492	0.02529
Streptococcus sp. FDAARGOS_522	2420310	S	4861	198454	203315	0.00192
Streptococcus sp. FDAARGOS_521	2420309	S	3834	185859	189693	0.00179
Streptococcus sp. FDAARGOS_520	2420308	S	1051	52703	53754	0.00051
Streptococcus sp. zg-86	2664091	S	192	12	204	0.00000
Streptococcus sp. Marseille-Q3533	2759692	S	164	10	174	0.00000
Streptococcus sp. A12	1759399	S	161	26	187	0.00000
Streptococcus sp. DAT741	1940319	S	118	240	358	0.00000
Streptococcus sp. Marseille-Q6470	2972784	S	91	9	100	0.00000
Streptococcus sp. HSISS2	1316411	S	55	38	93	0.00000
Streptococcus sp. oral taxon 431	712633	S	16	1	17	0.00000
Streptococcus sp. KS 6	2598457	S	12	5	17	0.00000
Streptococcus sp. 116-D4	2598453	S	12	1	13	0.00000
Streptococcus sp. oral taxon 061	712623	S	11	1	12	0.00000
Streptococcus troglodytae	1111760	S	5843	462	6305	0.00006
Streptococcus pyogenes	1314	S	3104	1495	4599	0.00004
Streptococcus dysgalactiae	1334	S	2706	4206	6912	0.00007
Streptococcus equi	1336	S	367	4	371	0.00000
Streptococcus suis	1307	S	2156	333	2489	0.00002
Streptococcus porcinus	1340	S	1057	39	1096	0.00001
Streptococcus canis	1329	S	1030	80	1110	0.00001
Streptococcus intermedius	1338	S	647	61	708	0.00001
Streptococcus anginosus	1328	S	303	160	463	0.00000
Streptococcus constellatus	76860	S	53	1438	1491	0.00001
Streptococcus uberis	1349	S	978	23	1001	0.00001
Streptococcus ratti	1341	S	849	4	853	0.00001
Streptococcus halichoeri	254785	S	673	32	705	0.00001
Streptococcus salivarius	1304	S	660	223	883	0.00001
Streptococcus thermophilus	1308	S	585	647	1232	0.00001
Streptococcus parauberis	1348	S	583	28	611	0.00001
Streptococcus oralis	1303	S	556	94	650	0.00001
Streptococcus urinalis	149016	S	552	44	596	0.00001
Streptococcus pseudoporcinus	361101	S	527	30	557	0.00001
Streptococcus alactolyticus	29389	S	508	44	552	0.00001
Streptococcus equinus	1335	S	503	85	588	0.00001
Streptococcus gordonii	1302	S	466	17	483	0.00000
Streptococcus cristatus	45634	S	394	253	647	0.00001
Streptococcus gallolyticus	315405	S	377	275	652	0.00001
Streptococcus lutetiensis	150055	S	369	94	463	0.00000
Streptococcus pneumoniae	1313	S	291	1140	1431	0.00001
Streptococcus pluranimalium	82348	S	243	7	250	0.00000
Streptococcus parasuis	1501662	S	227	77	304	0.00000
Streptococcus merionis	400065	S	199	0	199	0.00000
Streptococcus sanguinis	1305	S	198	4	202	0.00000
Streptococcus ferus	1345	S	194	1	195	0.00000
Streptococcus marmotae	1825069	S	191	11	202	0.00000
Streptococcus chenjunshii	2173853	S	177	0	177	0.00000
Streptococcus ilei	1156431	S	162	108	270	0.00000
Streptococcus pantholopis	1811193	S	159	0	159	0.00000
Streptococcus iniae	1346	S	134	2	136	0.00000
Streptococcus himalayensis	1888195	S	118	4	122	0.00000
Streptococcus mitis	28037	S	91	14	105	0.00000
Streptococcus halotolerans	1814128	S	84	0	84	0.00000
Streptococcus oriscaviae	2781599	S	73	1	74	0.00000
Streptococcus acidominimus	1326	S	59	3	62	0.00000
Streptococcus sobrinus	1310	S	49	0	49	0.00000
Streptococcus infantis	68892	S	28	2	30	0.00000
Streptococcus australis	113107	S	21	15	36	0.00000
Streptococcus parasanguinis	1318	S	20	2	22	0.00000
Streptococcus respiraculi	2021971	S	17	0	17	0.00000
Streptococcus pasteurianus	197614	S	14	52	66	0.00000
Lactococcus lactis	1358	S	24	14	38	0.00000
Lactococcus garvieae	1363	S	13	15	28	0.00000
Lactococcus cremoris	1359	S	11	10	21	0.00000
Enterococcus faecalis	1351	S	2769899	1354749	4124648	0.03892
Enterococcus rotai	118060	S	748	1	749	0.00001
Enterococcus wangshanyuanii	2005703	S	713	2	715	0.00001
Enterococcus mundtii	53346	S	693	10	703	0.00001
Enterococcus cecorum	44008	S	607	14	621	0.00001
Enterococcus sp. LX10	2920934	S	532	2893	3425	0.00003
Enterococcus faecium	1352	S	498	797	1295	0.00001
Enterococcus raffinosus	71452	S	467	24	491	0.00000
Enterococcus dispar	44009	S	321	14	335	0.00000
Enterococcus casseliflavus	37734	S	269	102	371	0.00000
Enterococcus avium	33945	S	266	17	283	0.00000
Enterococcus thailandicus	417368	S	206	4	210	0.00000
Enterococcus durans	53345	S	196	13	209	0.00000
Enterococcus gilvus	160453	S	170	4	174	0.00000
Enterococcus saigonensis	1805431	S	108	8	116	0.00000
Enterococcus hirae	1354	S	104	5	109	0.00000
Tetragenococcus halophilus	51669	S	180	1	181	0.00000
