name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptococcus sp. Marseille-Q6470	2972784	S	10	0	10	0.00000
Streptococcus sp. HSISS2	1316411	S	10	6	16	0.00000
Streptococcus troglodytae	1111760	S	1191	71	1262	0.00005
Streptococcus pyogenes	1314	S	877	170	1047	0.00004
Streptococcus dysgalactiae	1334	S	698	764	1462	0.00005
Streptococcus equi	1336	S	114	1	115	0.00000
Streptococcus suis	1307	S	601	64	665	0.00002
Streptococcus canis	1329	S	326	19	345	0.00001
Streptococcus intermedius	1338	S	177	16	193	0.00001
Streptococcus anginosus	1328	S	112	45	157	0.00001
Streptococcus constellatus	76860	S	10	3	13	0.00000
Streptococcus porcinus	1340	S	297	8	305	0.00001
Streptococcus uberis	1349	S	286	5	291	0.00001
Streptococcus halichoeri	254785	S	203	7	210	0.00001
Streptococcus salivarius	1304	S	201	51	252	0.00001
Streptococcus oralis	1303	S	186	24	210	0.00001
Streptococcus alactolyticus	29389	S	168	11	179	0.00001
Streptococcus ratti	1341	S	161	0	161	0.00001
Streptococcus parauberis	1348	S	157	5	162	0.00001
Streptococcus pseudoporcinus	361101	S	146	6	152	0.00001
Streptococcus thermophilus	1308	S	141	5	146	0.00001
Streptococcus equinus	1335	S	140	18	158	0.00001
Streptococcus urinalis	149016	S	134	8	142	0.00001
Streptococcus gordonii	1302	S	116	3	119	0.00000
Streptococcus lutetiensis	150055	S	115	22	137	0.00001
Streptococcus cristatus	45634	S	104	53	157	0.00001
Streptococcus gallolyticus	315405	S	102	55	157	0.00001
Streptococcus marmotae	1825069	S	72	3	75	0.00000
Streptococcus merionis	400065	S	68	0	68	0.00000
Streptococcus ferus	1345	S	67	0	67	0.00000
Streptococcus parasuis	1501662	S	65	16	81	0.00000
Streptococcus pneumoniae	1313	S	64	50	114	0.00000
Streptococcus ilei	1156431	S	61	30	91	0.00000
Streptococcus pluranimalium	82348	S	61	1	62	0.00000
Streptococcus chenjunshii	2173853	S	48	0	48	0.00000
Streptococcus sanguinis	1305	S	44	0	44	0.00000
Streptococcus pantholopis	1811193	S	35	0	35	0.00000
Streptococcus iniae	1346	S	23	0	23	0.00000
