name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lactobacillus iners	147802	S	36	0	36	0.00000
Lactobacillus sp. JM1	2690380	S	10	16	26	0.00000
Lactobacillus amylovorus	1604	S	14	0	14	0.00000
Lacticaseibacillus paracasei	1597	S	32	0	32	0.00000
Lactiplantibacillus plantarum	1590	S	15	0	15	0.00000
Loigolactobacillus bifermentans	1607	S	12	0	12	0.00000
Jeotgalibaca arthritidis	1868794	S	65	0	65	0.00000
Carnobacterium viridans	174587	S	12	10	22	0.00000
Suicoccus acidiformans	2036206	S	13	0	13	0.00000
Clostridium beijerinckii	1520	S	1663304	710784	2374088	0.15999
Clostridium sp. MF28	1702238	S	2445	6186	8631	0.00058
Clostridium sp. DL-VIII	641107	S	2076	25	2101	0.00014
Clostridium sp. BJN0001	2930219	S	81	0	81	0.00001
Clostridium sp. BNL1100	755731	S	70	0	70	0.00000
Clostridium sp. JN-9	2507159	S	17	0	17	0.00000
Clostridium saccharoperbutylacetonicum	36745	S	2275	12	2287	0.00015
Clostridium diolis	223919	S	2153	6602	8755	0.00059
Clostridium saccharobutylicum	169679	S	1884	13	1897	0.00013
Clostridium gelidum	704125	S	1877	7	1884	0.00013
Clostridium neonatale	137838	S	847	2	849	0.00006
Clostridium botulinum	1491	S	667	91	758	0.00005
Clostridium baratii	1561	S	369	2	371	0.00003
Clostridium taeniosporum	394958	S	363	2	365	0.00002
Clostridium manihotivorum	2320868	S	265	0	265	0.00002
Clostridium estertheticum	238834	S	179	1	180	0.00001
Clostridium pasteurianum	1501	S	155	0	155	0.00001
Clostridium butyricum	1492	S	143	87	230	0.00002
Clostridium isatidis	182773	S	136	1	137	0.00001
Clostridium felsineum	36839	S	135	0	135	0.00001
Clostridium bornimense	1216932	S	98	9	107	0.00001
Clostridium tyrobutyricum	1519	S	90	0	90	0.00001
Clostridium drakei	332101	S	76	8	84	0.00001
Clostridium scatologenes	1548	S	75	8	83	0.00001
Clostridium carboxidivorans	217159	S	64	1	65	0.00000
Clostridium chauvoei	46867	S	63	0	63	0.00000
Clostridium cadaveris	1529	S	60	0	60	0.00000
Clostridium perfringens	1502	S	51	22	73	0.00000
Clostridium intestinale	36845	S	42	0	42	0.00000
Clostridium tagluense	360422	S	39	0	39	0.00000
Clostridium tetani	1513	S	33	0	33	0.00000
Clostridium cochlearium	1494	S	30	0	30	0.00000
Clostridium kluyveri	1534	S	26	0	26	0.00000
Clostridium acetobutylicum	1488	S	25	0	25	0.00000
Clostridium argentinense	29341	S	22	0	22	0.00000
Clostridium sporogenes	1509	S	21	27	48	0.00000
Clostridium cellulovorans	1493	S	20	0	20	0.00000
Clostridium gasigenes	94869	S	20	0	20	0.00000
Clostridium septicum	1504	S	17	0	17	0.00000
Clostridium formicaceticum	1497	S	13	0	13	0.00000
Clostridium thermarum	1716543	S	10	2	12	0.00000
Anaerostipes hadrus	649756	S	10	0	10	0.00000
Christensenella sp. Marseille-P3954	2086585	S	11	0	11	0.00000
Deinococcus radiodurans	1299	S	1648724	17353	1666077	0.11228
Deinococcus wulumuqiensis	980427	S	508	2	510	0.00003
Deinococcus actinosclerus	1768108	S	33	0	33	0.00000
Deinococcus sp. NW-56	2080419	S	18	0	18	0.00000
Deinococcus gobiensis	502394	S	18	0	18	0.00000
Deinococcus radiopugnans	57497	S	11	0	11	0.00000
Truepera radiovictrix	332249	S	11	0	11	0.00000
Bifidobacterium adolescentis	1680	S	231768	149032	380800	0.02566
Bifidobacterium sp. KRGSERBCFTRI	2985571	S	785	425252	426037	0.02871
Bifidobacterium longum	216816	S	340	574	914	0.00006
Bifidobacterium catenulatum	1686	S	245	69	314	0.00002
Bifidobacterium dentium	1689	S	193	2	195	0.00001
Bifidobacterium pseudocatenulatum	28026	S	103	21	124	0.00001
Bifidobacterium angulatum	1683	S	89	3	92	0.00001
Bifidobacterium pseudolongum	1694	S	51	1	52	0.00000
Bifidobacterium scardovii	158787	S	43	0	43	0.00000
Bifidobacterium thermophilum	33905	S	32	0	32	0.00000
Bifidobacterium breve	1685	S	30	11	41	0.00000
Bifidobacterium pullorum	78448	S	28	0	28	0.00000
Bifidobacterium eulemuris	1765219	S	26	1	27	0.00000
Bifidobacterium subtile	77635	S	24	0	24	0.00000
Bifidobacterium choerinum	35760	S	16	0	16	0.00000
Bifidobacterium asteroides	1684	S	16	0	16	0.00000
Bifidobacterium lemurum	1603886	S	13	0	13	0.00000
Bifidobacterium bifidum	1681	S	10	12	22	0.00000
Streptomyces sp. HNA39	2850561	S	29	18	47	0.00000
Streptomyces sp. S1A1-7	2594459	S	27	35	62	0.00000
